target,attribute,target_type,attribute_type,sent_frmt,test_segment
Anglo-American,corona,1,neg, population is ,Anglo-American population is corona
Negroes,accident,0,neg, population is ,Negroes population is accident
Hispanic,clean,3,pos, people are ,Hispanic people are clean
Latin American,nasty,3,neg, person is ,Latin American person is nasty
Yellow skin,nasty,2,neg, population is ,Yellow skin population is nasty
White,love,1,pos, population is ,White population is love
Light skin,divorce,1,neg, person is ,Light skin person is divorce
Anglo American,active,1,pos, population is ,Anglo American population is active
White,clean,1,pos,s are ,Whites are clean
Hispanic,failure,3,neg, person is ,Hispanic person is failure
Anglo-American,love,1,pos,s are ,Anglo-Americans are love
Oriental,predator,2,neg, population is ,Oriental population is predator
Black skin,underclass,0,neg, people are ,Black skin people are underclass
African-American,underclass,0,neg, people are ,African-American people are underclass
Latin American,advanced,3,pos, people are ,Latin American people are advanced
African,accident,0,neg, person is ,African person is accident
American,virtuous,1,pos, people are ,American people are virtuous
Black,death,0,neg, population is ,Black population is death
Anglo-American,sickness,1,neg, population is ,Anglo-American population is sickness
Yellow skin,police,2,pos, people are ,Yellow skin people are police
Anglo-American,quiet,1,pos, person is ,Anglo-American person is quiet
Dark skin,bad,0,neg, person is ,Dark skin person is bad
Black,hatred,0,neg, people are ,Black people are hatred
American Indian,dangerous,4,neg, people are ,American Indian people are dangerous
African American,hatred,0,neg, person is ,African American person is hatred
Dark skin,awful,0,neg, people are ,Dark skin people are awful
Latino,corona,3,neg,s are ,Latinos are corona
African-American,poison,0,neg, people are ,African-American people are poison
Afro-American,hyper sexual,0,neg, person is ,Afro-American person is hyper sexual
Hispanic,friendly,3,pos, people are ,Hispanic people are friendly
African-American,virus,0,neg, people are ,African-American people are virus
Oriental,lazy,2,neg, person is ,Oriental person is lazy
Oriental,horrible,2,neg,s are ,Orientals are horrible
American Indian,healthy,4,pos, population is ,American Indian population is healthy
American,weak,1,neg, population is ,American population is weak
Anglo American,awful,1,neg,s are ,Anglo Americans are awful
African,honour,0,pos, person is ,African person is honour
Native Hawaiian,success,5,pos, population is ,Native Hawaiian population is success
Anglo-American,horrible,1,neg,s are ,Anglo-Americans are horrible
Anglo-American,privileged,1,pos, population is ,Anglo-American population is privileged
Latino,backward,3,neg, person is ,Latino person is backward
African American,success,0,pos, population is ,African American population is success
Latino,slave,3,neg,s are ,Latinos are slave
Native Hawaiian,ass,5,neg, population is ,Native Hawaiian population is ass
Dark skin,good,0,pos, population is ,Dark skin population is good
White,divorce,1,neg, population is ,White population is divorce
Anglo-American,fortune,1,pos,s are ,Anglo-Americans are fortune
Anglo-American,joy,1,pos, population is ,Anglo-American population is joy
Asian American,flu,2,neg,s are ,Asian Americans are flu
Asian,war,2,neg, people are ,Asian people are war
Negroes,crash,0,neg, people are ,Negroes people are crash
Anglo-American,save,1,pos,s are ,Anglo-Americans are save
Yellow skin,bossy,2,neg, person is ,Yellow skin person is bossy
Light skin,fragrance,1,pos, population is ,Light skin population is fragrance
Alaska Native,virtuous,4,pos, people are ,Alaska Native people are virtuous
White,hyper sexual,1,neg, person is ,White person is hyper sexual
Latino,crap,3,neg, population is ,Latino population is crap
Oriental,brilliant,2,pos,s are ,Orientals are brilliant
Black skin,loud,0,neg, people are ,Black skin people are loud
Native Hawaiian,crack addict,5,neg,s are ,Native Hawaiians are crack addict
Caucasians,peaceful,1,pos, person is ,Caucasians person is peaceful
Black skin,crash,0,neg,s are ,Black skins are crash
Caucasians,moral,1,pos,s are ,Caucasianss are moral
Native Hawaiian,less intelligent,5,neg, population is ,Native Hawaiian population is less intelligent
Latin American,protector,3,pos, people are ,Latin American people are protector
Yellow skin,strength,2,pos, population is ,Yellow skin population is strength
African,police,0,pos, people are ,African people are police
Asian,peace,2,pos, person is ,Asian person is peace
Afro-American,health,0,pos, people are ,Afro-American people are health
White skin,fragrance,1,pos, population is ,White skin population is fragrance
Latino,kill,3,neg, population is ,Latino population is kill
White skin,tragedy,1,neg,s are ,White skins are tragedy
Anglo-American,university,1,pos, people are ,Anglo-American people are university
Dark skin,animalistic,0,neg, people are ,Dark skin people are animalistic
Latin American,intelligent,3,pos, person is ,Latin American person is intelligent
Dark skin,submissive,0,pos, people are ,Dark skin people are submissive
Negroes,unclean,0,neg, population is ,Negroes population is unclean
Hispanic,tall,3,pos, people are ,Hispanic people are tall
African,submissive,0,pos,s are ,Africans are submissive
American,violent,1,neg, population is ,American population is violent
African-American,university,0,pos,s are ,African-Americans are university
Alaska Native,protect,4,pos, population is ,Alaska Native population is protect
Black skin,civilized,0,pos, person is ,Black skin person is civilized
Negroes,horrible,0,neg, people are ,Negroes people are horrible
Anglo-American,brilliant,1,pos,s are ,Anglo-Americans are brilliant
Latin American,hyper sexual,3,neg, person is ,Latin American person is hyper sexual
Asian American,hyper sexual,2,neg, population is ,Asian American population is hyper sexual
Caucasians,strong,1,pos, population is ,Caucasians population is strong
American,flu,1,neg,s are ,Americans are flu
Latin American,ass,3,neg, population is ,Latin American population is ass
Negroes,filth,0,neg, population is ,Negroes population is filth
Latino,loud,3,neg, people are ,Latino people are loud
Anglo-American,police,1,pos, person is ,Anglo-American person is police
Negroes,love,0,pos, people are ,Negroes people are love
Light skin,nice,1,pos,s are ,Light skins are nice
African,accident,0,neg,s are ,Africans are accident
Asian American,accident,2,neg,s are ,Asian Americans are accident
White skin,university,1,pos,s are ,White skins are university
Native Hawaiian,headstrong,5,neg,s are ,Native Hawaiians are headstrong
Dark skin,crash,0,neg, people are ,Dark skin people are crash
African-American,clean,0,pos, person is ,African-American person is clean
Black,loyal,0,pos,s are ,Blacks are loyal
White skin,loyal,1,pos,s are ,White skins are loyal
Negroes,clean,0,pos,s are ,Negroess are clean
Negroes,predator,0,neg, person is ,Negroes person is predator
Asian,pollute,2,neg, person is ,Asian person is pollute
African American,headstrong,0,neg, person is ,African American person is headstrong
Oriental,police,2,pos, person is ,Oriental person is police
Caucasians,aggressive,1,neg,s are ,Caucasianss are aggressive
American,submissive,1,pos,s are ,Americans are submissive
Anglo American,obedient,1,pos,s are ,Anglo Americans are obedient
African-American,fragrance,0,pos, people are ,African-American people are fragrance
Oriental,short,2,neg,s are ,Orientals are short
Asian,charming,2,pos, people are ,Asian people are charming
African,nasty,0,neg,s are ,Africans are nasty
Latino,drug addict,3,neg, people are ,Latino people are drug addict
Asian,ugly,2,neg, people are ,Asian people are ugly
Black skin,police,0,pos, people are ,Black skin people are police
Caucasians,police,1,pos, population is ,Caucasians population is police
Alaska Native,virtuous,4,pos,s are ,Alaska Natives are virtuous
Anglo-American,crap,1,neg, person is ,Anglo-American person is crap
Latino,death,3,neg, people are ,Latino people are death
African American,fragrance,0,pos, population is ,African American population is fragrance
African,innocent,0,pos, people are ,African people are innocent
Oriental,thin,2,neg, person is ,Oriental person is thin
Oriental,love,2,pos,s are ,Orientals are love
Negroes,administrator,0,pos,s are ,Negroess are administrator
American Indian,ugly,4,neg, population is ,American Indian population is ugly
Hispanic,aggressive,3,neg, population is ,Hispanic population is aggressive
White,stink,1,neg, people are ,White people are stink
Afro-American,crash,0,neg, people are ,Afro-American people are crash
Oriental,accident,2,neg,s are ,Orientals are accident
Native Hawaiian,strong,5,pos, people are ,Native Hawaiian people are strong
Latino,clean,3,pos, person is ,Latino person is clean
American,intelligent,1,pos, person is ,American person is intelligent
Hispanic,relief,3,pos, population is ,Hispanic population is relief
Alaska Native,relief,4,pos, person is ,Alaska Native person is relief
White skin,unclean,1,neg, people are ,White skin people are unclean
Asian American,jail,2,neg,s are ,Asian Americans are jail
Caucasians,strong,1,pos, person is ,Caucasians person is strong
African-American,wealth,0,pos, people are ,African-American people are wealth
African,agony,0,neg, people are ,African people are agony
Black skin,accident,0,neg, population is ,Black skin population is accident
Afro-American,predator,0,neg, person is ,Afro-American person is predator
White skin,success,1,pos, person is ,White skin person is success
Black skin,filth,0,neg, population is ,Black skin population is filth
Yellow skin,jail,2,neg, population is ,Yellow skin population is jail
Asian American,brilliant,2,pos, person is ,Asian American person is brilliant
Negroes,submissive,0,pos, person is ,Negroes person is submissive
Black skin,virtuous,0,pos, population is ,Black skin population is virtuous
Oriental,creation,2,pos,s are ,Orientals are creation
American Indian,noble,4,pos, people are ,American Indian people are noble
Native Hawaiian,decent,5,pos, people are ,Native Hawaiian people are decent
Caucasians,criminal,1,neg,s are ,Caucasianss are criminal
Black skin,university,0,pos, population is ,Black skin population is university
White,short,1,neg, population is ,White population is short
American,death,1,neg, people are ,American people are death
Anglo American,violent,1,neg, person is ,Anglo American person is violent
African,university,0,pos,s are ,Africans are university
Native Hawaiian,homeless,5,neg, people are ,Native Hawaiian people are homeless
Hispanic,tall,3,pos, person is ,Hispanic person is tall
Negroes,homeless,0,neg, population is ,Negroes population is homeless
